Compressive strength of cement fce (MPa),Tensile strength of cement fct (MPa),Curing age (day),Dmax of crushed stone (mm),Stone powder content in sand (%),Fineness modulus of sand,W/B,"Water to cement ratio, mw/mc",Water (kg/m3),Sand ratio (%),Slump (mm),"Compressive strength, fcu,t (MPa)","Splitting tensile  strength, fst,t (MPa)"
52.7,9,3,31.5,6.6,2.94,0.44,0.44,185,36,41,23.7,1.93
52.7,9,28,31.5,6.6,2.94,0.44,0.44,185,36,41,32.2,2.74
52.7,9,3,31.5,6.6,2.94,0.46,0.46,185,36,42,22.5,2.09
52.7,9,28,31.5,6.6,2.94,0.46,0.46,185,36,42,34.2,2.59
52.7,9,3,31.5,6.6,2.94,0.42,0.42,185,32,25,23.6,1.69
52.7,9,28,31.5,6.6,2.94,0.42,0.42,185,32,25,35.8,2.43
52.7,9,3,31.5,6.6,2.94,0.44,0.44,185,34,33,25.2,1.52
52.7,9,28,31.5,6.6,2.94,0.44,0.44,185,34,33,38.3,2.6
52.7,9,3,31.5,6.6,2.94,0.46,0.46,185,36,40,23.3,1.8
52.7,9,28,31.5,6.6,2.94,0.46,0.46,185,36,40,37.2,3.24
43.7,7.5,3,25,0.4,2.3,0.3,0.425,153,41,220,46.3,3.04
43.7,7.5,7,25,0.4,2.3,0.3,0.425,153,41,220,58.5,3.53
43.7,7.5,28,25,0.4,2.3,0.3,0.425,153,41,220,72.7,4.15
43.7,7.5,60,25,0.4,2.3,0.3,0.425,153,41,220,76.8,4.59
43.7,7.5,90,25,0.4,2.3,0.3,0.425,153,41,220,80.8,4.82
43.7,7.5,120,25,0.4,2.3,0.3,0.425,153,41,220,83.8,5.03
43.7,7.5,180,25,0.4,2.3,0.3,0.425,153,41,220,84.6,5.07
43.7,7.5,365,25,0.4,2.3,0.3,0.425,153,41,220,87.2,5.14
43.7,7.5,3,25,2.3,3.1,0.3,0.428,152,38,210,46.2,3.19
43.7,7.5,7,25,2.3,3.1,0.3,0.428,152,38,210,56.9,3.58
43.7,7.5,28,25,2.3,3.1,0.3,0.428,152,38,210,74.5,4.36
43.7,7.5,60,25,2.3,3.1,0.3,0.428,152,38,210,79.3,4.65
43.7,7.5,90,25,2.3,3.1,0.3,0.428,152,38,210,81.3,4.89
43.7,7.5,120,25,2.3,3.1,0.3,0.428,152,38,210,82.6,4.99
43.7,7.5,180,25,2.3,3.1,0.3,0.428,152,38,210,83.5,5.05
43.7,7.5,365,25,2.3,3.1,0.3,0.428,152,38,210,85.2,5.17
43.7,7.5,3,25,10.79956973,3.1,0.3,0.428,152,38,215,48.5,3.24
43.7,7.5,7,25,10.79956973,3.1,0.3,0.428,152,38,215,60.4,3.8
43.7,7.5,28,25,10.79956973,3.1,0.3,0.428,152,38,215,75.9,4.49
43.7,7.5,60,25,10.79956973,3.1,0.3,0.428,152,38,215,82.1,4.78
43.7,7.5,90,25,10.79956973,3.1,0.3,0.428,152,38,215,84.2,4.92
43.7,7.5,120,25,10.79956973,3.1,0.3,0.428,152,38,215,86.1,5.05
43.7,7.5,180,25,10.79956973,3.1,0.3,0.428,152,38,215,88.6,5.18
43.7,7.5,365,25,10.79956973,3.1,0.3,0.428,152,38,215,90.7,5.39
43.7,7.5,3,25,6.3,3.1,0.3,0.428,152,38,202,50.7,3.42
43.7,7.5,7,25,6.3,3.1,0.3,0.428,152,38,202,61,3.9
43.7,7.5,28,25,6.3,3.1,0.3,0.428,152,38,202,79.5,4.73
43.7,7.5,60,25,6.3,3.1,0.3,0.428,152,38,202,85.4,5.05
43.7,7.5,90,25,6.3,3.1,0.3,0.428,152,38,202,87.3,5.18
43.7,7.5,120,25,6.3,3.1,0.3,0.428,152,38,202,88.5,5.24
43.7,7.5,180,25,6.3,3.1,0.3,0.428,152,38,202,90.2,5.32
43.7,7.5,365,25,6.3,3.1,0.3,0.428,152,38,202,92.2,5.48
43.7,7.5,3,25,10.79956973,3.1,0.3,0.3,152,38,205,58.7,3.54
43.7,7.5,7,25,10.79956973,3.1,0.3,0.3,152,38,205,66.7,3.98
43.7,7.5,28,25,10.79956973,3.1,0.3,0.3,152,38,205,78.8,4.61
43.7,7.5,60,25,10.79956973,3.1,0.3,0.3,152,38,205,84.1,4.97
43.7,7.5,90,25,10.79956973,3.1,0.3,0.3,152,38,205,86.2,5.15
